2025-06-23T16:41:36.145Z	INFO	cobra@v1.9.1/command.go:1015	Starting all services
2025-06-23T16:41:36.146Z	INFO	frontend/server.go:67	Starting	{"service": "frontend", "address": "http://0.0.0.0:8080"}
2025-06-23T16:41:36.146Z	INFO	customer/server.go:46	Starting	{"service": "customer", "address": "http://0.0.0.0:8081"}
2025-06-23T16:41:36.147Z	INFO	driver/server.go:52	Starting	{"service": "driver", "address": "0.0.0.0:8082", "type": "gRPC"}
2025-06-23T16:41:36.147Z	INFO	route/server.go:44	Starting	{"service": "route", "address": "http://0.0.0.0:8083"}
2025-06-23T16:47:02.167Z	INFO	frontend/server.go:96	HTTP request received	{"service": "frontend", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "method": "GET", "url": "/dispatch?customer=123&nonse=0.7914438682108629"}
2025-06-23T16:47:02.167Z	INFO	customer/client.go:36	Getting customer	{"service": "frontend", "component": "customer_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "customer_id": 123}
2025-06-23T16:47:02.168Z	INFO	customer/server.go:63	HTTP request received	{"service": "customer", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "d4e7b3f8f3f04db1", "method": "GET", "url": "/customer?customer=123"}
2025-06-23T16:47:02.168Z	INFO	customer/database.go:65	Loading customer	{"service": "customer", "component": "mysql", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "d4e7b3f8f3f04db1", "customer_id": 123}
2025-06-23T16:47:02.168Z	INFO	tracing/mutex.go:57	Acquired lock; 0 transactions waiting behind	{"service": "customer", "component": "mysql", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "dba8be6a306c8f0e", "waiters": "[]"}
2025-06-23T16:47:02.438Z	INFO	frontend/best_eta.go:67	Found customer	{"service": "frontend", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "customer": {"ID":"123","Name":"Rachel's_Floral_Designs","Location":"115,277"}}
2025-06-23T16:47:02.438Z	INFO	driver/client.go:45	Finding nearest drivers	{"service": "frontend", "component": "driver_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "location": "115,277"}
2025-06-23T16:47:02.440Z	INFO	driver/server.go:62	Searching for nearby drivers	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "71d078d72ba771c7", "location": "115,277"}
2025-06-23T16:47:02.461Z	INFO	driver/redis.go:55	Found drivers	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "604f6014a2abd815", "drivers": ["T715841C", "T741297C", "T707605C", "T728318C", "T729289C", "T769937C", "T768314C", "T715612C", "T765374C", "T746719C"]}
2025-06-23T16:47:02.491Z	ERROR	driver/redis.go:70	redis timeout	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "b580af24d91f21a8", "driver_id": "T715841C", "error": "redis timeout"}
2025-06-23T16:47:02.491Z	ERROR	driver/server.go:74	Retrying GetDriver after error	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "71d078d72ba771c7", "retry_no": 1, "error": "redis timeout"}
2025-06-23T16:47:02.507Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "dee853a4648465cc", "driverID": "T715841C"}
2025-06-23T16:47:02.517Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "3c711b894690e99f", "driverID": "T741297C"}
2025-06-23T16:47:02.524Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "319ab4171d80902a", "driverID": "T707605C"}
2025-06-23T16:47:02.535Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "25510c790963c019", "driverID": "T728318C"}
2025-06-23T16:47:02.563Z	ERROR	driver/redis.go:70	redis timeout	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "688086f0aea41857", "driver_id": "T729289C", "error": "redis timeout"}
2025-06-23T16:47:02.563Z	ERROR	driver/server.go:74	Retrying GetDriver after error	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "71d078d72ba771c7", "retry_no": 1, "error": "redis timeout"}
2025-06-23T16:47:02.574Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "a361df0d672efb4e", "driverID": "T729289C"}
2025-06-23T16:47:02.581Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "5770b7ef69882cd0", "driverID": "T769937C"}
2025-06-23T16:47:02.599Z	INFO	driver/redis.go:74	2025-06-23T16:41:36.230Z	info	service@v0.127.0/service.go:289	Everything is ready. Begin running and processing data.	{"resource": {"service.name": "jaeger"}}
Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "9bb8f30962b8f1cb", "driverID": "T768314C"}
2025-06-23T16:47:02.611Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "80e41f39cbfb2303", "driverID": "T715612C"}
